rule,name,value
ruler_130_r,average,3.0084999999999997
ruler_131_r,average,3.0084999999999997
ruler_132_r,average,3.0084999999999997
ruler_133_r,average,3.0084999999999997
ruler_134_r,average,3.0084999999999997
ruler_135_r,average,2.014
ruler_136_r,average,2.014
ruler_137_r,average,2.014
ruler_138_r,average,2.014
ruler_139_r,average,2.014
ruler_140_r,average,2.014
ruler_141_r,average,4.009
ruler_142_r,average,4.009
ruler_143_r,average,4.009
ruler_144_r,average,4.009
ruler_145_r,average,4.009
ruler_146_r,average,4.009
ruler_147_r,average,4.009
ruler_148_r,average,3.014
ruler_149_r,average,3.014
ruler_150_r,average,3.014
ruler_151_r,average,3.014
ruler_152_r,average,3.014
ruler_153_r,average,3.014
ruler_154_r,average,3.014
ruler_155_r,average,5.009499999999999
ruler_156_r,average,5.009499999999999
ruler_157_r,average,5.009499999999999
ruler_158_r,average,5.009499999999999
ruler_159_r,average,5.009499999999999
ruler_160_r,average,5.009499999999999
ruler_161_r,average,5.009499999999999
ruler_162_r,average,5.009499999999999
ruler_163_r,average,5.009499999999999
ruler_164_r,average,5.009499999999999
ruler_165_r,average,5.009499999999999
ruler_166_r,average,5.009499999999999
ruler_167_r,average,5.009499999999999
ruler_168_r,average,5.009499999999999
ruler_169_r,average,5.009499999999999
ruler_170_r,average,5.009499999999999
ruler_171_r,average,4.015
ruler_172_r,average,4.015
ruler_173_r,average,4.015
ruler_174_r,average,4.015
ruler_175_r,average,4.015
ruler_176_r,average,4.015
ruler_177_r,average,4.015
ruler_178_r,average,4.015
ruler_179_r,average,4.015
ruler_180_r,average,4.015
ruler_181_r,average,4.015
ruler_182_r,average,4.015
ruler_183_r,average,4.015
ruler_184_r,average,4.015
ruler_185_r,average,4.015
ruler_186_r,average,4.015
ruler_187_r,average,4.015
ruler_188_r,average,4.015
ruler_189_r,average,4.015
ruler_190_r,average,4.015
ruler_191_r,average,4.015
ruler_192_r,average,4.015
ruler_193_r,average,4.015
ruler_194_r,average,4.015
ruler_195_r,average,4.015
ruler_196_r,average,4.015
ruler_197_r,average,4.015
ruler_198_r,average,4.015
ruler_199_r,average,4.015
ruler_200_r,average,4.015
ruler_201_r,average,4.015
ruler_202_r,average,4.015
ruler_203_r,average,4.015
ruler_204_r,average,4.015
ruler_205_r,average,4.015
ruler_206_r,average,4.015
ruler_207_r,average,4.015
ruler_208_r,average,4.015
ruler_209_r,average,4.015
ruler_210_r,average,4.015
ruler_211_r,average,4.015
